level,alpha,prev_cutoff,total_taxa_n,input_taxa_n,retained_taxa_n,train_cv_auc,train_cv_auc_ci_lower,train_cv_auc_ci_upper,train_auc,train_auc_ci_lower,train_auc_ci_upper,external_auc,external_auc_ci_lower,external_auc_ci_upper,train_loso_mean,train_loso_sd,train_isv_mean,train_isv_weighted_mean,train_loso_weighted_mean,status,rank_within_level,is_best
SGB,0.1,0.01,1026,641,212,0.849319655157416,0.832697658458528,0.865941651856304,0.92624257402533,0.911452782894579,0.941032365156082,0.733682596473294,0.695992904403665,0.771372288542924,0.679332547968668,0.0943914303085864,0.488312143129987,0.487011696157838,0.638609842895933,OK,7,FALSE
SGB,0.1,0.05,1026,507,236,0.849387224516895,0.832563339186698,0.866211109847093,0.93609810658576,0.922475285356968,0.949720927814551,0.723639151546128,0.685177414601426,0.762100888490831,0.668816821279972,0.106722354895772,0.464277647748672,0.451476561378931,0.630944544647793,OK,9,FALSE
SGB,0.1,0.1,1026,413,166,0.846220596172645,0.831494821083074,0.860946371262216,0.912716751391428,0.89629205337237,0.929141449410487,0.732481472016356,0.695013839826432,0.76994910420628,0.667150889272095,0.115582812243921,0.496329473056894,0.491189030782845,0.632584030572179,OK,8,FALSE
SGB,0.1,0.2,1026,276,115,0.830175752840022,0.815377669414321,0.844973836265723,0.882413416651597,0.862908786554375,0.901918046748819,0.709796405145242,0.670881446882798,0.748711363407687,0.678352751581056,0.127108595019343,0.487130199373608,0.500271122407224,0.644822858003952,OK,4,FALSE
SGB,0.1,0.3,1026,189,89,0.817800264349241,0.799671843636192,0.835928685062289,0.860616046133135,0.83903885325431,0.88219323901196,0.704821535054093,0.665796925456957,0.743846144651229,0.678721279084662,0.146347419979881,0.515497381882652,0.507084338275466,0.64730983433945,OK,3,FALSE
SGB,0.5,0.01,1026,641,145,0.839959264165713,0.82176892134204,0.858149606989386,0.926617640164226,0.911821084660531,0.94141419566792,0.727293636595962,0.689154792282798,0.765432480909126,0.642085400385435,0.0761765491291546,0.452961925898708,0.457205155240079,0.626421613845808,OK,11,FALSE
SGB,0.5,0.05,1026,507,167,0.842165164096778,0.823636229182816,0.860694099010741,0.939932488094999,0.926812344767957,0.953052631422041,0.71329755515802,0.674143730529893,0.752451379786148,0.610990726802852,0.119085123931126,0.47899750016723,0.468269444426413,0.589490450006954,OK,15,FALSE
SGB,0.5,0.1,1026,413,122,0.836641981641472,0.821273125965398,0.852010837317546,0.914304084872109,0.898039519998811,0.930568649745407,0.734440753045404,0.696972546264571,0.771908959826237,0.648926171282835,0.0924980350949616,0.500284971955604,0.511196114891494,0.628984887581916,OK,10,FALSE
SGB,0.5,0.2,1026,276,86,0.825726807226217,0.810181535585456,0.841272078866978,0.887074952949292,0.868028131536128,0.906121774362456,0.7114149416475,0.672361175980676,0.750468707314324,0.660296397923345,0.144871962768642,0.498293138516307,0.509493070372944,0.644782277337634,OK,5,FALSE
SGB,0.5,0.3,1026,189,67,0.814714314583027,0.798225481885246,0.831203147280807,0.865408185818481,0.844236405085562,0.8865799665514,0.709924184342789,0.671115900758912,0.748732467926666,0.67177345493566,0.137523693949448,0.5195410485195,0.514564579478781,0.65060728043894,OK,2,FALSE
SGB,1,0.01,1026,641,122,0.834087010534622,0.816140844693288,0.852033176375955,0.921909220599168,0.90653901308625,0.937279428112086,0.725981770167817,0.687801380107664,0.764162160227969,0.620923545546081,0.0830980024930505,0.459869308254865,0.459332328741127,0.605731252998714,OK,13,FALSE
SGB,1,0.05,1026,507,148,0.837677203952598,0.818944224236661,0.856410183668534,0.93706256237149,0.923568736297874,0.950556388445105,0.713152738734134,0.673974805228092,0.752330672240177,0.622334478441978,0.0911851998186272,0.469969968352963,0.469921416124333,0.600834995952637,OK,14,FALSE
SGB,1,0.1,1026,413,101,0.828870089382771,0.813390221764249,0.844349957001293,0.90249954791135,0.884961889688309,0.920037206134391,0.736417071300792,0.69928337528622,0.773550767315365,0.638209922121212,0.0918962959195832,0.514082863735367,0.509820965416391,0.618436418239276,OK,12,FALSE
