feature,coef
Tannerella,-0.0870963753894191
GGB1026,-0.0627423016133867
Neisseria,0.0566826905380196
Fusobacterium,0.0366058234424725
GGB12441,0.0343440920171325
Filifactor,-0.0325573917199901
Mogibacterium,-0.0313886175926946
GGB3883,-0.0308769522870741
GGB3887,-0.0263535360651896
Actinobaculum,0.0260159700341514
Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,0.0253797233842058
Cardiobacterium,0.0251035046217096
GGB4733,0.0238465587469326
GGB4936,0.0229834089175517
GGB2666,-0.0229214335844537
Capnocytophaga,-0.0220198937364927
Bacteroidota_unclassified,-0.0191661519553631
GGB1472,0.0149282364993131
Candidatus_Saccharibacteria_unclassified,0.0142628045509162
Lautropia,-0.0126186750560426
Dialister,-0.0125946068605804
Abiotrophia,-0.0125288681730772
Lancefieldella,-0.0115802797795871
Catonella,0.0079218623397857
Candidatus_Nanosynbacter,-0.00703197350293443
GGB12785,0.00701025184942819
