training_study,testing_study,analysis_type,n_train,n_train_healthy,n_train_disease,n_test,n_test_healthy,n_test_disease,auc,status,input_taxa_n,retained_taxa_n,lambda_1se,tuning_measure,inner_folds
BostanciN_2021,BostanciN_2021,within-study nested CV,154,126,28,154,126,28,0.566609977324263,OK,,,,,
BostanciN_2021,CuiJ_2019,single-cohort cross-study prediction,154,126,28,128,40,88,0.544886363636364,OK,84,19,0.0762001998332614,auc,10
BostanciN_2021,ZhangDY_2015,single-cohort cross-study prediction,154,126,28,122,47,75,0.539007092198582,OK,84,35,0.0436045559161879,auc,10
BostanciN_2021,ZellerG_2014,single-cohort cross-study prediction,154,126,28,54,21,33,0.506493506493507,OK,84,7,0.121332267043655,auc,10
BostanciN_2021,BuschartA_2016,single-cohort cross-study prediction,154,126,28,53,8,45,0.430555555555556,OK,84,9,0.110553442845237,auc,10
BostanciN_2021,VQuintanaL_2024,single-cohort cross-study prediction,154,126,28,53,21,32,0.575892857142857,OK,84,16,0.0836296252473286,auc,10
BostanciN_2021,BelstromD_2017,single-cohort cross-study prediction,154,126,28,20,10,10,0.56,OK,84,2,0.176032344787089,auc,10
BostanciN_2021,LiYJ_2023,single-cohort cross-study prediction,154,126,28,19,10,9,0.466666666666667,OK,84,30,0.0576426567261966,auc,10
BostanciN_2021,Castro-NallarE_2015,single-cohort cross-study prediction,154,126,28,18,6,12,0.722222222222222,OK,84,19,0.0762001998332614,auc,10
CuiJ_2019,BostanciN_2021,single-cohort cross-study prediction,128,40,88,154,126,28,0.608560090702948,OK,243,15,0.136288831602478,auc,10
CuiJ_2019,CuiJ_2019,within-study nested CV,128,40,88,128,40,88,0.841477272727273,OK,,,,,
CuiJ_2019,ZhangDY_2015,single-cohort cross-study prediction,128,40,88,122,47,75,0.56709219858156,OK,243,12,0.156699037529533,auc,10
CuiJ_2019,ZellerG_2014,single-cohort cross-study prediction,128,40,88,54,21,33,0.327561327561328,OK,243,16,0.13009429386639,auc,10
CuiJ_2019,BuschartA_2016,single-cohort cross-study prediction,128,40,88,53,8,45,0.716666666666667,OK,243,10,0.197731759076462,auc,10
CuiJ_2019,VQuintanaL_2024,single-cohort cross-study prediction,128,40,88,53,21,32,0.258928571428571,OK,243,10,0.180165814571673,auc,10
CuiJ_2019,BelstromD_2017,single-cohort cross-study prediction,128,40,88,20,10,10,0.61,OK,243,13,0.149576824434211,auc,10
CuiJ_2019,LiYJ_2023,single-cohort cross-study prediction,128,40,88,19,10,9,0.511111111111111,OK,243,11,0.164160380162918,auc,10
CuiJ_2019,Castro-NallarE_2015,single-cohort cross-study prediction,128,40,88,18,6,12,0.541666666666667,OK,243,11,0.171977000242613,auc,10
