external_study,cohort_type,type_tag,n_total,n_healthy,n_disease,n_correct,metric_name,facet_group,metric,ci_lower,ci_upper,model_type,omitted_training_study,input_taxa_n,retained_taxa_n,lambda_1se
BelstromD_2021,Mixed,CC,78,36,42,,AUC,"Case-control cohorts
(AUC)",0.831349206349206,,,LODO models,preprint_CastilhosJ_2021,210,88,0.0280396625852904
BritoIL_2016,Healthy-only,H-only,115,115,0,41,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.356521739130435,,,LODO models,preprint_CastilhosJ_2021,210,88,0.0280396625852904
CaselliE_2020,Healthy-only,H-only,54,54,0,52,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.962962962962963,,,LODO models,preprint_CastilhosJ_2021,210,88,0.0280396625852904
ChenQB_2024,Mixed,CC,90,19,71,,AUC,"Case-control cohorts
(AUC)",0.570793180133432,,,LODO models,preprint_CastilhosJ_2021,210,88,0.0280396625852904
KartalE_2022,Mixed,CC,44,17,27,,AUC,"Case-control cohorts
(AUC)",0.326797385620915,,,LODO models,preprint_CastilhosJ_2021,210,88,0.0280396625852904
Koohi-MoghadamM_2024,Mixed,CC,20,11,9,,AUC,"Case-control cohorts
(AUC)",0.909090909090909,,,LODO models,preprint_CastilhosJ_2021,210,88,0.0280396625852904
LassalleF_2017,Healthy-only,H-only,24,24,0,7,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.291666666666667,,,LODO models,preprint_CastilhosJ_2021,210,88,0.0280396625852904
NagataN_2022,Mixed,CC,282,235,47,,AUC,"Case-control cohorts
(AUC)",0.541693073789045,,,LODO models,preprint_CastilhosJ_2021,210,88,0.0280396625852904
PlachokovaA_2021,Disease-only,D-only,7,0,7,5,Disease CCR,Single-class cohorts: expected-direction classification rate,0.714285714285714,,,LODO models,preprint_CastilhosJ_2021,210,88,0.0280396625852904
ShalonD_2023,Healthy-only,H-only,29,29,0,21,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.724137931034483,,,LODO models,preprint_CastilhosJ_2021,210,88,0.0280396625852904
SunBY_2021,Mixed,CC,18,6,12,,AUC,"Case-control cohorts
(AUC)",0.902777777777778,,,LODO models,preprint_CastilhosJ_2021,210,88,0.0280396625852904
BelstromD_2021,Mixed,CC,78,36,42,,AUC,"Case-control cohorts
(AUC)",0.76521164021164,,,LODO models,BostanciN_2021,204,88,0.0273840048366932
BritoIL_2016,Healthy-only,H-only,115,115,0,39,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.339130434782609,,,LODO models,BostanciN_2021,204,88,0.0273840048366932
CaselliE_2020,Healthy-only,H-only,54,54,0,33,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.611111111111111,,,LODO models,BostanciN_2021,204,88,0.0273840048366932
ChenQB_2024,Mixed,CC,90,19,71,,AUC,"Case-control cohorts
(AUC)",0.62416604892513,,,LODO models,BostanciN_2021,204,88,0.0273840048366932
KartalE_2022,Mixed,CC,44,17,27,,AUC,"Case-control cohorts
(AUC)",0.366013071895425,,,LODO models,BostanciN_2021,204,88,0.0273840048366932
Koohi-MoghadamM_2024,Mixed,CC,20,11,9,,AUC,"Case-control cohorts
(AUC)",0.909090909090909,,,LODO models,BostanciN_2021,204,88,0.0273840048366932
LassalleF_2017,Healthy-only,H-only,24,24,0,3,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.125,,,LODO models,BostanciN_2021,204,88,0.0273840048366932
NagataN_2022,Mixed,CC,282,235,47,,AUC,"Case-control cohorts
(AUC)",0.627252150294251,,,LODO models,BostanciN_2021,204,88,0.0273840048366932
PlachokovaA_2021,Disease-only,D-only,7,0,7,7,Disease CCR,Single-class cohorts: expected-direction classification rate,1,,,LODO models,BostanciN_2021,204,88,0.0273840048366932
ShalonD_2023,Healthy-only,H-only,29,29,0,14,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.482758620689655,,,LODO models,BostanciN_2021,204,88,0.0273840048366932
SunBY_2021,Mixed,CC,18,6,12,,AUC,"Case-control cohorts
(AUC)",0.847222222222222,,,LODO models,BostanciN_2021,204,88,0.0273840048366932
BelstromD_2021,Mixed,CC,78,36,42,,AUC,"Case-control cohorts
(AUC)",0.802910052910053,,,LODO models,CuiJ_2019,161,39,0.0434087023017266
BritoIL_2016,Healthy-only,H-only,115,115,0,29,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.252173913043478,,,LODO models,CuiJ_2019,161,39,0.0434087023017266
CaselliE_2020,Healthy-only,H-only,54,54,0,43,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.796296296296296,,,LODO models,CuiJ_2019,161,39,0.0434087023017266
ChenQB_2024,Mixed,CC,90,19,71,,AUC,"Case-control cohorts
(AUC)",0.667160859896219,,,LODO models,CuiJ_2019,161,39,0.0434087023017266
KartalE_2022,Mixed,CC,44,17,27,,AUC,"Case-control cohorts
(AUC)",0.348583877995643,,,LODO models,CuiJ_2019,161,39,0.0434087023017266
Koohi-MoghadamM_2024,Mixed,CC,20,11,9,,AUC,"Case-control cohorts
(AUC)",0.898989898989899,,,LODO models,CuiJ_2019,161,39,0.0434087023017266
LassalleF_2017,Healthy-only,H-only,24,24,0,2,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.0833333333333333,,,LODO models,CuiJ_2019,161,39,0.0434087023017266
NagataN_2022,Mixed,CC,282,235,47,,AUC,"Case-control cohorts
(AUC)",0.623540063377094,,,LODO models,CuiJ_2019,161,39,0.0434087023017266
PlachokovaA_2021,Disease-only,D-only,7,0,7,6,Disease CCR,Single-class cohorts: expected-direction classification rate,0.857142857142857,,,LODO models,CuiJ_2019,161,39,0.0434087023017266
ShalonD_2023,Healthy-only,H-only,29,29,0,15,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.517241379310345,,,LODO models,CuiJ_2019,161,39,0.0434087023017266
SunBY_2021,Mixed,CC,18,6,12,,AUC,"Case-control cohorts
(AUC)",0.888888888888889,,,LODO models,CuiJ_2019,161,39,0.0434087023017266
BelstromD_2021,Mixed,CC,78,36,42,,AUC,"Case-control cohorts
(AUC)",0.819444444444445,,,LODO models,ZhangDY_2015,149,30,0.0607393139313974
BritoIL_2016,Healthy-only,H-only,115,115,0,14,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.121739130434783,,,LODO models,ZhangDY_2015,149,30,0.0607393139313974
CaselliE_2020,Healthy-only,H-only,54,54,0,44,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0.814814814814815,,,LODO models,ZhangDY_2015,149,30,0.0607393139313974
ChenQB_2024,Mixed,CC,90,19,71,,AUC,"Case-control cohorts
(AUC)",0.627131208302446,,,LODO models,ZhangDY_2015,149,30,0.0607393139313974
KartalE_2022,Mixed,CC,44,17,27,,AUC,"Case-control cohorts
(AUC)",0.311546840958606,,,LODO models,ZhangDY_2015,149,30,0.0607393139313974
Koohi-MoghadamM_2024,Mixed,CC,20,11,9,,AUC,"Case-control cohorts
(AUC)",0.939393939393939,,,LODO models,ZhangDY_2015,149,30,0.0607393139313974
LassalleF_2017,Healthy-only,H-only,24,24,0,0,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",0,,,LODO models,ZhangDY_2015,149,30,0.0607393139313974
