external_study,n_external_disease,tpr,omitted_training_study,input_taxa_n,retained_taxa_n,lambda_1se,status
PlachokovaA_2021,7,1,BostanciN_2021,204,82,0.0300539115025267,OK
PlachokovaA_2021,7,0.857142857142857,CuiJ_2019,161,34,0.0476409971878005,OK
PlachokovaA_2021,7,0.857142857142857,ZhangDY_2015,149,43,0.0459470635299301,OK
PlachokovaA_2021,7,0.857142857142857,ZhuJY_2023,154,57,0.0332647822922564,OK
PlachokovaA_2021,7,1,ZellerG_2014,175,56,0.0338894306012811,OK
PlachokovaA_2021,7,0.857142857142857,BuschartA_2016,176,53,0.0402497005988443,OK
PlachokovaA_2021,7,1,VQuintanaL_2024,172,45,0.0453596050839319,OK
PlachokovaA_2021,7,0.857142857142857,BelstromD_2017,173,64,0.0289000017210321,OK
PlachokovaA_2021,7,1,LiYJ_2023,173,46,0.041493508380993,OK
PlachokovaA_2021,7,0.857142857142857,Castro-NallarE_2015,177,50,0.0351797697246408,OK
