external_study,n_external_disease,tpr,omitted_training_study,input_taxa_n,retained_taxa_n,lambda_1se,status
BelstromD_2021,42,0.880952380952381,BostanciN_2021,204,82,0.0300539115025267,OK
ChenQB_2024,71,0.957746478873239,BostanciN_2021,204,82,0.0300539115025267,OK
KartalE_2022,27,0.851851851851852,BostanciN_2021,204,82,0.0300539115025267,OK
Koohi-MoghadamM_2024,9,1,BostanciN_2021,204,82,0.0300539115025267,OK
NagataN_2022,47,0.808510638297872,BostanciN_2021,204,82,0.0300539115025267,OK
PlachokovaA_2021,7,1,BostanciN_2021,204,82,0.0300539115025267,OK
SunBY_2021,12,0.833333333333333,BostanciN_2021,204,82,0.0300539115025267,OK
BelstromD_2021,42,0.857142857142857,CuiJ_2019,161,34,0.0476409971878005,OK
ChenQB_2024,71,0.943661971830986,CuiJ_2019,161,34,0.0476409971878005,OK
KartalE_2022,27,0.925925925925926,CuiJ_2019,161,34,0.0476409971878005,OK
Koohi-MoghadamM_2024,9,1,CuiJ_2019,161,34,0.0476409971878005,OK
NagataN_2022,47,0.808510638297872,CuiJ_2019,161,34,0.0476409971878005,OK
PlachokovaA_2021,7,0.857142857142857,CuiJ_2019,161,34,0.0476409971878005,OK
SunBY_2021,12,0.833333333333333,CuiJ_2019,161,34,0.0476409971878005,OK
BelstromD_2021,42,0.880952380952381,ZhangDY_2015,149,43,0.0459470635299301,OK
ChenQB_2024,71,0.957746478873239,ZhangDY_2015,149,43,0.0459470635299301,OK
KartalE_2022,27,0.851851851851852,ZhangDY_2015,149,43,0.0459470635299301,OK
Koohi-MoghadamM_2024,9,1,ZhangDY_2015,149,43,0.0459470635299301,OK
NagataN_2022,47,0.723404255319149,ZhangDY_2015,149,43,0.0459470635299301,OK
PlachokovaA_2021,7,0.857142857142857,ZhangDY_2015,149,43,0.0459470635299301,OK
SunBY_2021,12,0.916666666666667,ZhangDY_2015,149,43,0.0459470635299301,OK
BelstromD_2021,42,0.857142857142857,ZhuJY_2023,154,57,0.0332647822922564,OK
ChenQB_2024,71,0.985915492957746,ZhuJY_2023,154,57,0.0332647822922564,OK
KartalE_2022,27,0.925925925925926,ZhuJY_2023,154,57,0.0332647822922564,OK
Koohi-MoghadamM_2024,9,1,ZhuJY_2023,154,57,0.0332647822922564,OK
NagataN_2022,47,0.808510638297872,ZhuJY_2023,154,57,0.0332647822922564,OK
PlachokovaA_2021,7,0.857142857142857,ZhuJY_2023,154,57,0.0332647822922564,OK
SunBY_2021,12,0.916666666666667,ZhuJY_2023,154,57,0.0332647822922564,OK
BelstromD_2021,42,0.857142857142857,ZellerG_2014,175,56,0.0338894306012811,OK
ChenQB_2024,71,0.957746478873239,ZellerG_2014,175,56,0.0338894306012811,OK
KartalE_2022,27,0.777777777777778,ZellerG_2014,175,56,0.0338894306012811,OK
Koohi-MoghadamM_2024,9,0.888888888888889,ZellerG_2014,175,56,0.0338894306012811,OK
NagataN_2022,47,0.829787234042553,ZellerG_2014,175,56,0.0338894306012811,OK
PlachokovaA_2021,7,1,ZellerG_2014,175,56,0.0338894306012811,OK
SunBY_2021,12,0.916666666666667,ZellerG_2014,175,56,0.0338894306012811,OK
BelstromD_2021,42,0.833333333333333,BuschartA_2016,176,53,0.0402497005988443,OK
ChenQB_2024,71,0.943661971830986,BuschartA_2016,176,53,0.0402497005988443,OK
KartalE_2022,27,0.777777777777778,BuschartA_2016,176,53,0.0402497005988443,OK
Koohi-MoghadamM_2024,9,1,BuschartA_2016,176,53,0.0402497005988443,OK
NagataN_2022,47,0.659574468085106,BuschartA_2016,176,53,0.0402497005988443,OK
PlachokovaA_2021,7,0.857142857142857,BuschartA_2016,176,53,0.0402497005988443,OK
SunBY_2021,12,0.916666666666667,BuschartA_2016,176,53,0.0402497005988443,OK
BelstromD_2021,42,0.880952380952381,VQuintanaL_2024,172,45,0.0453596050839319,OK
ChenQB_2024,71,0.985915492957746,VQuintanaL_2024,172,45,0.0453596050839319,OK
KartalE_2022,27,0.851851851851852,VQuintanaL_2024,172,45,0.0453596050839319,OK
Koohi-MoghadamM_2024,9,1,VQuintanaL_2024,172,45,0.0453596050839319,OK
NagataN_2022,47,0.808510638297872,VQuintanaL_2024,172,45,0.0453596050839319,OK
PlachokovaA_2021,7,1,VQuintanaL_2024,172,45,0.0453596050839319,OK
SunBY_2021,12,0.833333333333333,VQuintanaL_2024,172,45,0.0453596050839319,OK
BelstromD_2021,42,0.857142857142857,BelstromD_2017,173,64,0.0289000017210321,OK
ChenQB_2024,71,0.971830985915493,BelstromD_2017,173,64,0.0289000017210321,OK
KartalE_2022,27,0.851851851851852,BelstromD_2017,173,64,0.0289000017210321,OK
Koohi-MoghadamM_2024,9,1,BelstromD_2017,173,64,0.0289000017210321,OK
NagataN_2022,47,0.787234042553192,BelstromD_2017,173,64,0.0289000017210321,OK
PlachokovaA_2021,7,0.857142857142857,BelstromD_2017,173,64,0.0289000017210321,OK
SunBY_2021,12,0.916666666666667,BelstromD_2017,173,64,0.0289000017210321,OK
BelstromD_2021,42,0.880952380952381,LiYJ_2023,173,46,0.041493508380993,OK
ChenQB_2024,71,0.985915492957746,LiYJ_2023,173,46,0.041493508380993,OK
KartalE_2022,27,0.851851851851852,LiYJ_2023,173,46,0.041493508380993,OK
Koohi-MoghadamM_2024,9,1,LiYJ_2023,173,46,0.041493508380993,OK
NagataN_2022,47,0.872340425531915,LiYJ_2023,173,46,0.041493508380993,OK
PlachokovaA_2021,7,1,LiYJ_2023,173,46,0.041493508380993,OK
SunBY_2021,12,0.916666666666667,LiYJ_2023,173,46,0.041493508380993,OK
BelstromD_2021,42,0.80952380952381,Castro-NallarE_2015,177,50,0.0351797697246408,OK
