external_study,cohort_type,type_tag,n_total,n_healthy,n_disease,metric_name,facet_group,n_lodo_models,lodo_min,lodo_q1,lodo_median,lodo_q3,lodo_max,lodo_mean,lodo_sd,final_metric,final_ci_lower,final_ci_upper
BelstromD_2021,Mixed,CC,78,36,42,AUC,"Case-control cohorts
(AUC)",16,0.76521164021164,0.812334656084656,0.823743386243386,0.831845238095238,0.845238095238095,0.819320436507937,0.019760592517741,0.820767195767196,0.727818759413104,0.913715632121287
BritoIL_2016,Healthy-only,H-only,115,115,0,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",16,0.121739130434783,0.284782608695652,0.339130434782609,0.367391304347826,0.486956521739131,0.318478260869565,0.0949314082626619,0.356521739130435,0.269406020314858,0.451223465882198
CaselliE_2020,Healthy-only,H-only,54,54,0,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",16,0.611111111111111,0.740740740740741,0.787037037037037,0.814814814814815,0.962962962962963,0.773148148148148,0.0795793697258435,0.814814814814815,0.685703483019792,0.907454513293949
ChenQB_2024,Mixed,CC,90,19,71,AUC,"Case-control cohorts
(AUC)",16,0.552260934025204,0.623239436619718,0.627131208302446,0.641771682727947,0.667160859896219,0.626945885841364,0.0297422631535532,0.623424759080801,0.460650474043788,0.786199044117813
KartalE_2022,Mixed,CC,44,17,27,AUC,"Case-control cohorts
(AUC)",16,0.311546840958606,0.334967320261438,0.348583877995643,0.360566448801743,0.366013071895425,0.345588235294118,0.0178927993371914,0.337690631808279,0.165908156508342,0.509473107108216
Koohi-MoghadamM_2024,Mixed,CC,20,11,9,AUC,"Case-control cohorts
(AUC)",16,0.787878787878788,0.878787878787879,0.904040404040404,0.919191919191919,0.96969696969697,0.898358585858586,0.0403145051722024,0.898989898989899,0.757260537267118,1
LassalleF_2017,Healthy-only,H-only,24,24,0,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",16,0,0.0833333333333333,0.0833333333333333,0.125,0.291666666666667,0.1015625,0.0679882036336697,0.0833333333333333,0.0102563412812502,0.269972801557604
NagataN_2022,Mixed,CC,282,235,47,AUC,"Case-control cohorts
(AUC)",16,0.541693073789045,0.611430511543685,0.617971933001358,0.623653236758714,0.627252150294251,0.610728836577637,0.0219375613002774,0.623992756903576,0.537204785465531,0.710780728341622
PlachokovaA_2021,Disease-only,D-only,7,0,7,Disease CCR,Single-class cohorts: expected-direction classification rate,16,0.714285714285714,0.857142857142857,1,1,1,0.946428571428571,0.0884484553381272,1,0.590383602774997,1
ShalonD_2023,Healthy-only,H-only,29,29,0,Healthy CCR,"Single-class cohorts
(Expected-direction rate)",16,0.413793103448276,0.482758620689655,0.482758620689655,0.482758620689655,0.724137931034483,0.493534482758621,0.0662915526775555,0.482758620689655,0.294485582951841,0.674685003638544
SunBY_2021,Mixed,CC,18,6,12,AUC,"Case-control cohorts
(AUC)",16,0.847222222222222,0.899305555555556,0.923611111111111,0.930555555555556,0.930555555555556,0.909722222222222,0.0286887655274624,0.916666666666667,0.773938349455316,1
