study_use,n_total,n_healthy,n_disease,cohort_type
ArmstrongA_2021,13,13,0,Healthy-only
BelstromD_2017,20,10,10,Mixed
BostanciN_2021,154,126,28,Mixed
BuschartA_2016,53,8,45,Mixed
Castro-NallarE_2015,18,6,12,Mixed
ChenBY_2023,56,0,56,Disease-only
ChenLW_2022,61,61,0,Healthy-only
CuiJ_2019,128,40,88,Mixed
JiangQ_2021,21,0,21,Disease-only
LiYJ_2023,19,10,9,Mixed
ShaiberA_2020,35,35,0,Healthy-only
VQuintanaL_2024,53,21,32,Mixed
ZellerG_2014,54,21,33,Mixed
ZhangDY_2015,122,47,75,Mixed
ZhuJY_2023,74,73,1,Mixed
preprint_CastilhosJ_2021,224,0,224,Disease-only
