set,study,cohort_type,phenotypes,n_total,n_healthy,n_disease,min_class_n,small_class_flag,median_OMWI_healthy,median_OMWI_disease,auc,ci_lower,ci_upper,auc_ci,interpretation
Training,ArmstrongA_2021,Healthy-only,Disease,13,13,0,0,FALSE,-0.170321785,,,,,NA,AUC not estimable for a single-class cohort
Training,ChenBY_2023,Disease-only,Periodontitis,56,0,56,0,FALSE,,-0.8265698555,,,,NA,AUC not estimable for a single-class cohort
Training,ChenLW_2022,Healthy-only,Disease,61,61,0,0,FALSE,0.592523502146697,,,,,NA,AUC not estimable for a single-class cohort
Training,JiangQ_2021,Disease-only,Adenoid Cystic Carcinoma,21,0,21,0,FALSE,,-0.391154798,,,,NA,AUC not estimable for a single-class cohort
Training,ShaiberA_2020,Healthy-only,Disease,35,35,0,0,FALSE,0.439007772663539,,,,,NA,AUC not estimable for a single-class cohort
Training,preprint_CastilhosJ_2021,Disease-only,COVID,224,0,224,0,FALSE,,-0.9943476925,,,,NA,AUC not estimable for a single-class cohort
External validation,BritoIL_2016,Healthy-only,Disease,115,115,0,0,FALSE,-0.335739542618192,,,,,NA,AUC not estimable for a single-class cohort
External validation,CaselliE_2020,Healthy-only,Disease,54,54,0,0,FALSE,0.705986475218178,,,,,NA,AUC not estimable for a single-class cohort
External validation,LassalleF_2017,Healthy-only,Disease,24,24,0,0,FALSE,-1.00660741875316,,,,,NA,AUC not estimable for a single-class cohort
External validation,PlachokovaA_2021,Disease-only,Periodontitis,7,0,7,0,FALSE,,-0.760714218362763,,,,NA,AUC not estimable for a single-class cohort
External validation,ShalonD_2023,Healthy-only,Disease,29,29,0,0,FALSE,-0.0626087566960859,,,,,NA,AUC not estimable for a single-class cohort
