study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.5,0.3,0.486111111111111,177,47,18,6,12,0.333333333333333,0.666666666666667,0.5,,balanced_accuracy,0.5
ZhangDY_2015,0.5,0.3,0.632340425531915,149,43,122,47,75,0.191489361702128,0.866666666666667,0.529078014184397,,balanced_accuracy,0.529078014184397
ChenBY_2023,0.5,0.3,,168,46,56,0,56,,0.696428571428571,,0.696428571428571,single_class_accuracy,0.696428571428571
BuschartA_2016,0.5,0.3,0.466666666666667,176,42,53,8,45,0.625,0.422222222222222,0.523611111111111,,balanced_accuracy,0.523611111111111
VQuintanaL_2024,0.5,0.3,0.757440476190476,172,45,53,21,32,0.333333333333333,0.90625,0.619791666666667,,balanced_accuracy,0.619791666666667
ArmstrongA_2021,0.5,0.3,,174,40,13,13,0,0.153846153846154,,,0.153846153846154,single_class_accuracy,0.153846153846154
BelstromD_2017,0.5,0.3,0.75,173,40,20,10,10,0.8,0.4,0.6,,balanced_accuracy,0.6
BostanciN_2021,0.5,0.3,0.482426303854875,204,96,154,126,28,0.349206349206349,0.607142857142857,0.478174603174603,,balanced_accuracy,0.478174603174603
ChenLW_2022,0.5,0.3,,187,53,61,61,0,0.442622950819672,,,0.442622950819672,single_class_accuracy,0.442622950819672
CuiJ_2019,0.5,0.3,0.665340909090909,161,39,128,40,88,0.15,0.931818181818182,0.540909090909091,,balanced_accuracy,0.540909090909091
JiangQ_2021,0.5,0.3,,171,48,21,0,21,,0.571428571428571,,0.571428571428571,single_class_accuracy,0.571428571428571
LiYJ_2023,0.5,0.3,0.688888888888889,173,48,19,10,9,0.4,1,0.7,,balanced_accuracy,0.7
preprint_CastilhosJ_2021,0.5,0.3,,210,93,224,0,224,,0.482142857142857,,0.482142857142857,single_class_accuracy,0.482142857142857
ShaiberA_2020,0.5,0.3,,174,48,35,35,0,0.428571428571429,,,0.428571428571429,single_class_accuracy,0.428571428571429
ZhuJY_2023,0.5,0.3,1,154,61,74,73,1,0.219178082191781,1,0.60958904109589,,balanced_accuracy,0.60958904109589
ZellerG_2014,0.5,0.3,0.66955266955267,175,63,54,21,33,0.476190476190476,0.696969696969697,0.586580086580087,,balanced_accuracy,0.586580086580087
