study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,1,0.3,0.527777777777778,191,52,18,6,12,0.333333333333333,0.666666666666667,0.5,,balanced_accuracy,0.5
ZhangDY_2015,1,0.3,0.586950354609929,160,46,122,47,75,0.170212765957447,0.853333333333333,0.51177304964539,,balanced_accuracy,0.51177304964539
ChenBY_2023,1,0.3,,183,56,56,0,56,,0.714285714285714,,0.714285714285714,single_class_accuracy,0.714285714285714
BuschartA_2016,1,0.3,0.580555555555556,191,45,53,8,45,0.5,0.355555555555556,0.427777777777778,,balanced_accuracy,0.427777777777778
VQuintanaL_2024,1,0.3,0.742559523809524,186,68,53,21,32,0.285714285714286,0.90625,0.595982142857143,,balanced_accuracy,0.595982142857143
ArmstrongA_2021,1,0.3,,188,61,13,13,0,0.230769230769231,,,0.230769230769231,single_class_accuracy,0.230769230769231
BelstromD_2017,1,0.3,0.74,187,50,20,10,10,0.7,0.5,0.6,,balanced_accuracy,0.6
BostanciN_2021,1,0.3,0.521258503401361,220,108,154,126,28,0.380952380952381,0.571428571428571,0.476190476190476,,balanced_accuracy,0.476190476190476
ChenLW_2022,1,0.3,,202,63,61,61,0,0.475409836065574,,,0.475409836065574,single_class_accuracy,0.475409836065574
CuiJ_2019,1,0.3,0.655965909090909,175,57,128,40,88,0.05,0.931818181818182,0.490909090909091,,balanced_accuracy,0.490909090909091
JiangQ_2021,1,0.3,,184,76,21,0,21,,0.571428571428571,,0.571428571428571,single_class_accuracy,0.571428571428571
LiYJ_2023,1,0.3,0.666666666666667,186,50,19,10,9,0.4,1,0.7,,balanced_accuracy,0.7
preprint_CastilhosJ_2021,1,0.3,,227,82,224,0,224,,0.464285714285714,,0.464285714285714,single_class_accuracy,0.464285714285714
ShaiberA_2020,1,0.3,,189,61,35,35,0,0.457142857142857,,,0.457142857142857,single_class_accuracy,0.457142857142857
ZhuJY_2023,1,0.3,0.986301369863014,166,62,74,73,1,0.26027397260274,1,0.63013698630137,,balanced_accuracy,0.63013698630137
ZellerG_2014,1,0.3,0.643578643578644,189,64,54,21,33,0.523809523809524,0.575757575757576,0.54978354978355,,balanced_accuracy,0.54978354978355
