study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,1,0.01,0.541666666666667,70,25,18,6,12,0.333333333333333,0.583333333333333,0.458333333333333,,balanced_accuracy,0.458333333333333
ZhangDY_2015,1,0.01,0.485957446808511,69,29,122,47,75,0.361702127659575,0.613333333333333,0.487517730496454,,balanced_accuracy,0.487517730496454
ChenBY_2023,1,0.01,,70,23,56,0,56,,0.857142857142857,,0.857142857142857,single_class_accuracy,0.857142857142857
BuschartA_2016,1,0.01,0.586111111111111,70,27,53,8,45,0,0.711111111111111,0.355555555555556,,balanced_accuracy,0.355555555555556
VQuintanaL_2024,1,0.01,0.836309523809524,70,22,53,21,32,1,0.59375,0.796875,,balanced_accuracy,0.796875
ArmstrongA_2021,1,0.01,,70,28,13,13,0,0.0769230769230769,,,0.0769230769230769,single_class_accuracy,0.0769230769230769
BelstromD_2017,1,0.01,0.77,70,29,20,10,10,0.3,0.9,0.6,,balanced_accuracy,0.6
BostanciN_2021,1,0.01,0.575963718820862,70,33,154,126,28,0.0555555555555556,0.928571428571429,0.492063492063492,,balanced_accuracy,0.492063492063492
ChenLW_2022,1,0.01,,70,22,61,61,0,0.114754098360656,,,0.114754098360656,single_class_accuracy,0.114754098360656
CuiJ_2019,1,0.01,0.552556818181818,70,34,128,40,88,0.225,0.818181818181818,0.521590909090909,,balanced_accuracy,0.521590909090909
JiangQ_2021,1,0.01,,70,29,21,0,21,,0.80952380952381,,0.80952380952381,single_class_accuracy,0.80952380952381
LiYJ_2023,1,0.01,0.433333333333333,70,27,19,10,9,0.2,1,0.6,,balanced_accuracy,0.6
preprint_CastilhosJ_2021,1,0.01,,69,30,224,0,224,,0.401785714285714,,0.401785714285714,single_class_accuracy,0.401785714285714
ShaiberA_2020,1,0.01,,70,30,35,35,0,0.0571428571428571,,,0.0571428571428571,single_class_accuracy,0.0571428571428571
ZhuJY_2023,1,0.01,0.63013698630137,70,18,74,73,1,0.0958904109589041,1,0.547945205479452,,balanced_accuracy,0.547945205479452
ZellerG_2014,1,0.01,0.518037518037518,70,30,54,21,33,0.0952380952380952,0.636363636363636,0.365800865800866,,balanced_accuracy,0.365800865800866
