study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,1,0.2,0.680555555555556,61,18,18,6,12,0.166666666666667,0.75,0.458333333333333,,balanced_accuracy,0.458333333333333
ZhangDY_2015,1,0.2,0.55886524822695,58,22,122,47,75,0.212765957446809,0.786666666666667,0.499716312056738,,balanced_accuracy,0.499716312056738
ChenBY_2023,1,0.2,,60,20,56,0,56,,0.892857142857143,,0.892857142857143,single_class_accuracy,0.892857142857143
BuschartA_2016,1,0.2,0.502777777777778,61,23,53,8,45,0.25,0.733333333333333,0.491666666666667,,balanced_accuracy,0.491666666666667
VQuintanaL_2024,1,0.2,0.788690476190476,61,15,53,21,32,0.761904761904762,0.65625,0.709077380952381,,balanced_accuracy,0.709077380952381
ArmstrongA_2021,1,0.2,,61,20,13,13,0,0.230769230769231,,,0.230769230769231,single_class_accuracy,0.230769230769231
BelstromD_2017,1,0.2,0.82,61,20,20,10,10,0.8,0.8,0.8,,balanced_accuracy,0.8
BostanciN_2021,1,0.2,0.532596371882086,63,16,154,126,28,0.0476190476190476,0.964285714285714,0.505952380952381,,balanced_accuracy,0.505952380952381
ChenLW_2022,1,0.2,,61,30,61,61,0,0.39344262295082,,,0.39344262295082,single_class_accuracy,0.39344262295082
CuiJ_2019,1,0.2,0.610227272727273,61,23,128,40,88,0.225,0.840909090909091,0.532954545454546,,balanced_accuracy,0.532954545454546
JiangQ_2021,1,0.2,,61,22,21,0,21,,0.80952380952381,,0.80952380952381,single_class_accuracy,0.80952380952381
LiYJ_2023,1,0.2,0.6,61,21,19,10,9,0.3,1,0.65,,balanced_accuracy,0.65
preprint_CastilhosJ_2021,1,0.2,,61,25,224,0,224,,0.397321428571429,,0.397321428571429,single_class_accuracy,0.397321428571429
ShaiberA_2020,1,0.2,,61,23,35,35,0,0.428571428571429,,,0.428571428571429,single_class_accuracy,0.428571428571429
ZhuJY_2023,1,0.2,0.520547945205479,60,19,74,73,1,0.10958904109589,1,0.554794520547945,,balanced_accuracy,0.554794520547945
ZellerG_2014,1,0.2,0.595959595959596,61,24,54,21,33,0.19047619047619,0.818181818181818,0.504329004329004,,balanced_accuracy,0.504329004329004
