study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.5,0.2,0.597222222222222,101,38,18,6,12,0.166666666666667,0.666666666666667,0.416666666666667,,balanced_accuracy,0.416666666666667
ZhangDY_2015,0.5,0.2,0.510070921985816,89,35,122,47,75,0.319148936170213,0.64,0.479574468085106,,balanced_accuracy,0.479574468085106
ChenBY_2023,0.5,0.2,,96,26,56,0,56,,0.767857142857143,,0.767857142857143,single_class_accuracy,0.767857142857143
BuschartA_2016,0.5,0.2,0.594444444444445,102,38,53,8,45,0.375,0.733333333333333,0.554166666666667,,balanced_accuracy,0.554166666666667
VQuintanaL_2024,0.5,0.2,0.764880952380952,103,36,53,21,32,0.619047619047619,0.6875,0.65327380952381,,balanced_accuracy,0.65327380952381
ArmstrongA_2021,0.5,0.2,,101,30,13,13,0,0.230769230769231,,,0.230769230769231,single_class_accuracy,0.230769230769231
BelstromD_2017,0.5,0.2,0.82,102,33,20,10,10,0.7,0.9,0.8,,balanced_accuracy,0.8
BostanciN_2021,0.5,0.2,0.483560090702948,110,55,154,126,28,0.142857142857143,0.75,0.446428571428571,,balanced_accuracy,0.446428571428571
ChenLW_2022,0.5,0.2,,104,47,61,61,0,0.229508196721311,,,0.229508196721311,single_class_accuracy,0.229508196721311
CuiJ_2019,0.5,0.2,0.515340909090909,96,41,128,40,88,0.15,0.738636363636364,0.444318181818182,,balanced_accuracy,0.444318181818182
JiangQ_2021,0.5,0.2,,101,35,21,0,21,,0.666666666666667,,0.666666666666667,single_class_accuracy,0.666666666666667
LiYJ_2023,0.5,0.2,0.744444444444444,101,38,19,10,9,0.3,1,0.65,,balanced_accuracy,0.65
preprint_CastilhosJ_2021,0.5,0.2,,110,32,224,0,224,,0.415178571428571,,0.415178571428571,single_class_accuracy,0.415178571428571
ShaiberA_2020,0.5,0.2,,102,39,35,35,0,0.371428571428571,,,0.371428571428571,single_class_accuracy,0.371428571428571
ZhuJY_2023,0.5,0.2,0.73972602739726,95,30,74,73,1,0.0958904109589041,1,0.547945205479452,,balanced_accuracy,0.547945205479452
ZellerG_2014,0.5,0.2,0.564213564213564,102,35,54,21,33,0.142857142857143,0.818181818181818,0.480519480519481,,balanced_accuracy,0.480519480519481
