study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.1,0.3,0.513888888888889,43,21,18,6,12,0.166666666666667,0.833333333333333,0.5,,balanced_accuracy,0.5
ZhangDY_2015,0.1,0.3,0.531631205673759,38,22,122,47,75,0.148936170212766,0.88,0.514468085106383,,balanced_accuracy,0.514468085106383
ChenBY_2023,0.1,0.3,,42,21,56,0,56,,0.946428571428571,,0.946428571428571,single_class_accuracy,0.946428571428571
BuschartA_2016,0.1,0.3,0.511111111111111,44,20,53,8,45,0.125,0.844444444444445,0.484722222222222,,balanced_accuracy,0.484722222222222
VQuintanaL_2024,0.1,0.3,0.8125,44,19,53,21,32,0.523809523809524,0.8125,0.668154761904762,,balanced_accuracy,0.668154761904762
ArmstrongA_2021,0.1,0.3,,43,21,13,13,0,0.153846153846154,,,0.153846153846154,single_class_accuracy,0.153846153846154
BelstromD_2017,0.1,0.3,0.7,43,21,20,10,10,0.1,1,0.55,,balanced_accuracy,0.55
BostanciN_2021,0.1,0.3,0.538548752834467,46,17,154,126,28,0,1,0.5,,balanced_accuracy,0.5
ChenLW_2022,0.1,0.3,,44,25,61,61,0,0.147540983606557,,,0.147540983606557,single_class_accuracy,0.147540983606557
CuiJ_2019,0.1,0.3,0.604545454545455,40,20,128,40,88,0.15,0.886363636363636,0.518181818181818,,balanced_accuracy,0.518181818181818
JiangQ_2021,0.1,0.3,,42,21,21,0,21,,0.952380952380952,,0.952380952380952,single_class_accuracy,0.952380952380952
LiYJ_2023,0.1,0.3,0.644444444444445,43,22,19,10,9,0.1,1,0.55,,balanced_accuracy,0.55
preprint_CastilhosJ_2021,0.1,0.3,,48,31,224,0,224,,0.375,,0.375,single_class_accuracy,0.375
ShaiberA_2020,0.1,0.3,,44,20,35,35,0,0.142857142857143,,,0.142857142857143,single_class_accuracy,0.142857142857143
ZhuJY_2023,0.1,0.3,0.657534246575342,40,28,74,73,1,0.0547945205479452,1,0.527397260273973,,balanced_accuracy,0.527397260273973
ZellerG_2014,0.1,0.3,0.597402597402597,43,24,54,21,33,0.142857142857143,0.606060606060606,0.374458874458874,,balanced_accuracy,0.374458874458874
