study,alpha,prev_cutoff,loso_auc,input_taxa_n,retained_taxa_n,n_total,n_healthy,n_disease,healthy_ccr,disease_ccr,balanced_accuracy,single_class_accuracy,metric_type,metric_value
Castro-NallarE_2015,0.1,0.3,0.486111111111111,177,74,18,6,12,0.333333333333333,0.75,0.541666666666667,,balanced_accuracy,0.541666666666667
ZhangDY_2015,0.1,0.3,0.624964539007092,149,54,122,47,75,0.127659574468085,0.893333333333333,0.510496453900709,,balanced_accuracy,0.510496453900709
ChenBY_2023,0.1,0.3,,168,65,56,0,56,,0.75,,0.75,single_class_accuracy,0.75
BuschartA_2016,0.1,0.3,0.447222222222222,176,54,53,8,45,0.625,0.444444444444444,0.534722222222222,,balanced_accuracy,0.534722222222222
VQuintanaL_2024,0.1,0.3,0.764880952380952,172,63,53,21,32,0.285714285714286,0.90625,0.595982142857143,,balanced_accuracy,0.595982142857143
ArmstrongA_2021,0.1,0.3,,174,59,13,13,0,0.0769230769230769,,,0.0769230769230769,single_class_accuracy,0.0769230769230769
BelstromD_2017,0.1,0.3,0.76,173,65,20,10,10,0.8,0.6,0.7,,balanced_accuracy,0.7
BostanciN_2021,0.1,0.3,0.496031746031746,204,110,154,126,28,0.325396825396825,0.714285714285714,0.51984126984127,,balanced_accuracy,0.51984126984127
ChenLW_2022,0.1,0.3,,187,78,61,61,0,0.442622950819672,,,0.442622950819672,single_class_accuracy,0.442622950819672
CuiJ_2019,0.1,0.3,0.65625,161,68,128,40,88,0.05,0.931818181818182,0.490909090909091,,balanced_accuracy,0.490909090909091
JiangQ_2021,0.1,0.3,,171,69,21,0,21,,0.523809523809524,,0.523809523809524,single_class_accuracy,0.523809523809524
LiYJ_2023,0.1,0.3,0.755555555555556,173,66,19,10,9,0.4,1,0.7,,balanced_accuracy,0.7
preprint_CastilhosJ_2021,0.1,0.3,,210,135,224,0,224,,0.482142857142857,,0.482142857142857,single_class_accuracy,0.482142857142857
ShaiberA_2020,0.1,0.3,,174,63,35,35,0,0.4,,,0.4,single_class_accuracy,0.4
ZhuJY_2023,0.1,0.3,0.986301369863014,154,85,74,73,1,0.191780821917808,1,0.595890410958904,,balanced_accuracy,0.595890410958904
ZellerG_2014,0.1,0.3,0.682539682539683,175,97,54,21,33,0.428571428571429,0.666666666666667,0.547619047619048,,balanced_accuracy,0.547619047619048
