study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.01,18,6,12,0.583333333333333,644,145
ZhangDY_2015,0.5,0.01,122,47,75,0.577021276595745,621,135
BuschartA_2016,0.5,0.01,53,8,45,0.655555555555556,646,158
VQuintanaL_2024,0.5,0.01,53,21,32,0.754464285714286,642,154
BelstromD_2017,0.5,0.01,20,10,10,0.76,647,157
BostanciN_2021,0.5,0.01,154,126,28,0.539399092970522,651,122
CuiJ_2019,0.5,0.01,128,40,88,0.687784090909091,646,129
LiYJ_2023,0.5,0.01,19,10,9,0.588888888888889,646,147
ZhuJY_2023,0.5,0.01,74,73,1,0.671232876712329,633,172
ZellerG_2014,0.5,0.01,54,21,33,0.603174603174603,641,152
