study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.01,18,6,12,0.541666666666667,70,25
ZhangDY_2015,1,0.01,122,47,75,0.485957446808511,69,29
BuschartA_2016,1,0.01,53,8,45,0.586111111111111,70,27
VQuintanaL_2024,1,0.01,53,21,32,0.836309523809524,70,22
BelstromD_2017,1,0.01,20,10,10,0.77,70,29
BostanciN_2021,1,0.01,154,126,28,0.575963718820862,70,33
CuiJ_2019,1,0.01,128,40,88,0.552556818181818,70,34
LiYJ_2023,1,0.01,19,10,9,0.433333333333333,70,27
ZhuJY_2023,1,0.01,74,73,1,0.63013698630137,70,18
ZellerG_2014,1,0.01,54,21,33,0.518037518037518,70,30
