study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.3,18,6,12,0.652777777777778,52,15
ZhangDY_2015,0.5,0.3,122,47,75,0.536737588652482,47,16
BuschartA_2016,0.5,0.3,53,8,45,0.527777777777778,53,17
VQuintanaL_2024,0.5,0.3,53,21,32,0.800595238095238,53,15
BelstromD_2017,0.5,0.3,20,10,10,0.78,52,15
BostanciN_2021,0.5,0.3,154,126,28,0.584183673469388,55,14
CuiJ_2019,0.5,0.3,128,40,88,0.617329545454545,48,13
LiYJ_2023,0.5,0.3,19,10,9,0.655555555555556,52,15
ZhuJY_2023,0.5,0.3,74,73,1,0.616438356164384,49,15
ZellerG_2014,0.5,0.3,54,21,33,0.56998556998557,52,17
