study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.2,18,6,12,0.597222222222222,101,36
ZhangDY_2015,1,0.2,122,47,75,0.510070921985816,89,34
BuschartA_2016,1,0.2,53,8,45,0.577777777777778,102,34
VQuintanaL_2024,1,0.2,53,21,32,0.764880952380952,103,35
BelstromD_2017,1,0.2,20,10,10,0.82,102,30
BostanciN_2021,1,0.2,154,126,28,0.517857142857143,110,28
CuiJ_2019,1,0.2,128,40,88,0.513920454545455,96,41
LiYJ_2023,1,0.2,19,10,9,0.733333333333333,101,36
ZhuJY_2023,1,0.2,74,73,1,0.726027397260274,95,26
ZellerG_2014,1,0.2,54,21,33,0.564213564213564,102,29
