study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.3,18,6,12,0.541666666666667,43,14
ZhangDY_2015,1,0.3,122,47,75,0.533900709219858,38,14
BuschartA_2016,1,0.3,53,8,45,0.566666666666667,44,17
VQuintanaL_2024,1,0.3,53,21,32,0.849702380952381,44,15
BelstromD_2017,1,0.3,20,10,10,0.66,43,15
BostanciN_2021,1,0.3,154,126,28,0.542800453514739,46,8
CuiJ_2019,1,0.3,128,40,88,0.615056818181818,40,14
LiYJ_2023,1,0.3,19,10,9,0.422222222222222,43,18
ZhuJY_2023,1,0.3,74,73,1,0.602739726027397,40,20
ZellerG_2014,1,0.3,54,21,33,0.575757575757576,43,20
