study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,0.5,0.3,18,6,12,0.486111111111111,11,6
ZhangDY_2015,0.5,0.3,122,47,75,0.575035460992908,9,4
BuschartA_2016,0.5,0.3,53,8,45,0.472222222222222,11,4
VQuintanaL_2024,0.5,0.3,53,21,32,0.651785714285714,11,4
BelstromD_2017,0.5,0.3,20,10,10,0.71,11,5
BostanciN_2021,0.5,0.3,154,126,28,0.596938775510204,11,7
CuiJ_2019,0.5,0.3,128,40,88,0.569602272727273,10,4
LiYJ_2023,0.5,0.3,19,10,9,0.833333333333333,11,3
ZhuJY_2023,0.5,0.3,74,73,1,0.616438356164384,9,3
ZellerG_2014,0.5,0.3,54,21,33,0.613275613275613,11,3
