study,alpha,prev_cutoff,n_holdout,n_holdout_healthy,n_holdout_disease,loso_auc,input_taxa_n,retained_taxa_n
Castro-NallarE_2015,1,0.05,18,6,12,0.625,482,117
ZhangDY_2015,1,0.05,122,47,75,0.612765957446809,447,118
BuschartA_2016,1,0.05,53,8,45,0.686111111111111,483,98
VQuintanaL_2024,1,0.05,53,21,32,0.773809523809524,482,108
BelstromD_2017,1,0.05,20,10,10,0.64,483,116
BostanciN_2021,1,0.05,154,126,28,0.529761904761905,496,99
CuiJ_2019,1,0.05,128,40,88,0.68125,479,106
LiYJ_2023,1,0.05,19,10,9,0.577777777777778,476,108
ZhuJY_2023,1,0.05,74,73,1,0.561643835616438,474,104
ZellerG_2014,1,0.05,54,21,33,0.633477633477633,484,102
