feature	coef	direction
(Intercept)	-0.800988296731756	intercept
Haemophilus_sputorum	0.0566946432627792	health_associated
Tannerella_forsythia	-0.0433376795530395	disease_associated
Actinomyces_massiliensis	0.0397801325095353	health_associated
GGB1026_SGB1321	-0.0389538725625881	disease_associated
Streptococcus_sanguinis	0.0384198734015173	health_associated
Neisseria_subflava	0.0361162283556937	health_associated
Capnocytophaga_granulosa	-0.0332024322800968	disease_associated
Cardiobacterium_hominis	0.0329747079926774	health_associated
Tannerella_serpentiformis	-0.032919669688743	disease_associated
Streptococcus_australis	0.0284904978257351	health_associated
Lancefieldella_rimae	0.0276391392194967	health_associated
Fusobacterium_periodonticum	0.026092156046202	health_associated
Prevotella_nanceiensis	0.0243576554013032	health_associated
Eubacterium_infirmum	0.0240510203825034	health_associated
Prevotella_SGB1459	0.0236134172660467	health_associated
Veillonella_rogosae	0.0212150335661782	health_associated
Treponema_denticola	-0.0210214603327229	disease_associated
GGB12441_SGB19290	0.0194643225467411	health_associated
GGB1202_SGB1566	0.018192771110382	health_associated
Prevotella_oris	-0.0169706812762632	disease_associated
GGB12785_SGB19827	0.0144700667468424	health_associated
Actinomyces_sp_oral_taxon_448	-0.0143643400333184	disease_associated
Capnocytophaga_leadbetteri	-0.0134682335533614	disease_associated
Alloprevotella_SGB1484	0.0131239703452886	health_associated
Lancefieldella_parvula	-0.0126699496481373	disease_associated
GGB4936_SGB6889	0.0112519376392682	health_associated
TM7_phylum_sp_oral_taxon_352	0.0111358638377162	health_associated
GGB3887_SGB5270	-0.0110005335974297	disease_associated
Alloprevotella_SGB1483	0.0102307800741048	health_associated
Streptococcus_gordonii	0.00992078115526247	health_associated
Selenomonas_noxia	0.00988883166061762	health_associated
GGB4533_SGB6246	-0.00971920724697462	disease_associated
Prevotella_sp_HJM029	0.00893148715701821	health_associated
Lautropia_mirabilis	-0.00836258098121049	disease_associated
Veillonella_tobetsuensis	0.00720258633379334	health_associated
Aggregatibacter_segnis	-0.00711150517235109	disease_associated
Selenomonas_felix	-0.00700468705246296	disease_associated
Oribacterium_SGB96486	0.00576499882286925	health_associated
Eubacterium_sulci	0.00563935279500839	health_associated
Prevotella_histicola	0.00563341800849472	health_associated
Selenomonas_SGB5897	-0.00560116736359052	disease_associated
Actinobaculum_sp_oral_taxon_183	0.00550909093906685	health_associated
Granulicatella_adiacens	0.00500510158463491	health_associated
Campylobacter_rectus	-0.0041948983865033	disease_associated
Filifactor_alocis	-0.00325028982625916	disease_associated
Schaalia_SGB17154	0.00227845988636741	health_associated
TM7_phylum_sp_oral_taxon_348	0.00107285829836495	health_associated
Campylobacter_showae	-0.000738285361437699	disease_associated
Schaalia_SGB17157	-0.000492029817929775	disease_associated
Streptococcus_infantis	-3.0342430908133e-05	disease_associated
