feature	coef	direction
(Intercept)	-0.800988296731756	intercept
Neisseria_subflava	0.0361162283556937	health_associated
Prevotella_melaninogenica	0	zero
Rothia_mucilaginosa	0	zero
Porphyromonas_bobii	0	zero
Veillonella_atypica	0	zero
Prevotella_histicola	0.00563341800849472	health_associated
Veillonella_dispar	0	zero
Prevotella_pallens	0	zero
Prevotella_jejuni	0	zero
Streptococcus_mitis	0	zero
TM7_phylum_sp_oral_taxon_352	0.0111358638377162	health_associated
Veillonella_rogosae	0.0212150335661782	health_associated
Streptococcus_parasanguinis	0	zero
Fusobacterium_periodonticum	0.026092156046202	health_associated
Actinomyces_sp_ICM47	0	zero
Streptococcus_salivarius	0	zero
Prevotella_vespertina	0	zero
GGB1144_SGB1469	0	zero
GGB1144_SGB1468	0	zero
Neisseria_sicca	0	zero
Granulicatella_SGB8255	0	zero
Megasphaera_micronuciformis	0	zero
Prevotella_nanceiensis	0.0243576554013032	health_associated
Prevotella_salivae	0	zero
Actinomyces_graevenitzii	0	zero
Campylobacter_concisus	0	zero
Veillonella_parvula	0	zero
Schaalia_SGB17168	0	zero
Schaalia_odontolytica	0	zero
Lancefieldella_parvula	-0.0126699496481373	non_healthy_associated
Rothia_SGB49305	0	zero
Streptococcus_oralis	0	zero
Eubacterium_sulci	0.00563935279500839	health_associated
Alloprevotella_tannerae	0	zero
Gemella_sanguinis	0	zero
Veillonella_tobetsuensis	0.00720258633379334	health_associated
Streptococcus_australis	0.0284904978257351	health_associated
Selenomonas_SGB5880	0	zero
Lautropia_mirabilis	-0.00836258098121049	non_healthy_associated
Leptotrichia_wadei	0	zero
Alloprevotella_SGB1484	0.0131239703452886	health_associated
GGB4936_SGB6889	0.0112519376392682	health_associated
Fusobacterium_nucleatum	0	zero
Alloprevotella_SGB1483	0.0102307800741048	health_associated
Porphyromonas_endodontalis	0	zero
Capnocytophaga_leadbetteri	-0.0134682335533614	non_healthy_associated
Actinomyces_bouchesdurhonensis	0	zero
Neisseria_elongata	0	zero
Haemophilus_haemolyticus	0	zero
Actinomyces_oris	0	zero
Rothia_aeria	0	zero
Schaalia_SGB17154	0.00227845988636741	health_associated
Mogibacterium_diversum	0	zero
Porphyromonas_gingivalis	0	zero
Neisseria_sp_oral_taxon_014	0	zero
Prevotella_nigrescens	0	zero
Leptotrichia_sp_oral_taxon_215	0	zero
Prevotellaceae_bacterium_Marseille_P2826	0	zero
Parvimonas_micra	0	zero
Haemophilus_parainfluenzae	0	zero
Prevotella_shahii	0	zero
Streptococcus_infantis	-3.0342430908133e-05	non_healthy_associated
Peptostreptococcus_SGB749	0	zero
Prevotella_intermedia	0	zero
Schaalia_SGB17158	0	zero
Oribacterium_sinus	0	zero
Gemella_haemolysans	0	zero
GGB3883_SGB5266	0	zero
Corynebacterium_matruchotii	0	zero
Haemophilus_sputorum	0.0566946432627792	health_associated
TM7_phylum_sp_oral_taxon_351	0	zero
Schaalia_SGB17157	-0.000492029817929775	non_healthy_associated
Streptococcus_cristatus	0	zero
Streptococcus_gordonii	0.00992078115526247	health_associated
Capnocytophaga_gingivalis	0	zero
Tannerella_serpentiformis	-0.032919669688743	non_healthy_associated
Streptococcus_sanguinis	0.0384198734015173	health_associated
Solobacterium_SGB6829	0	zero
Aggregatibacter_sp_2125159857	0	zero
Leptotrichia_sp_oral_taxon_221	0	zero
GGB12785_SGB19823	0	zero
Candidatus_Nanosynbacter_sp_HMT_352	0	zero
Gemella_morbillorum	0	zero
Actinomyces_sp_ph3	0	zero
Lachnoanaerobaculum_orale	0	zero
Prevotella_oris	-0.0169706812762632	non_healthy_associated
GGB3883_SGB5265	0	zero
Granulicatella_adiacens	0.00500510158463491	health_associated
Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1	0	zero
Actinomyces_SGB17132	0	zero
GGB1203_SGB1568	0	zero
Haemophilus_parahaemolyticus	0	zero
Lachnospiraceae_bacterium_oral_taxon_096	0	zero
Prevotella_sp_HJM029	0.00893148715701821	health_associated
Corynebacterium_durum	0	zero
Prevotella_denticola	0	zero
Aggregatibacter_segnis	-0.00711150517235109	non_healthy_associated
Capnocytophaga_granulosa	-0.0332024322800968	non_healthy_associated
Oribacterium_parvum	0	zero
GGB1202_SGB1567	0	zero
Eubacterium_brachy	0	zero
Dialister_invisus	0	zero
Prevotella_veroralis	0	zero
GGB4721_SGB6537	0	zero
Porphyromonas_sp_oral_taxon_278	0	zero
Alloprevotella_sp_oral_taxon_473	0	zero
Filifactor_alocis	-0.00325028982625916	non_healthy_associated
Actinomyces_dentalis	0	zero
Lachnoanaerobaculum_sp_ICM7	0	zero
Catonella_massiliensis	0	zero
Candidatus_Nanoperiomorbus_periodonticus	0	zero
TM7_phylum_sp_oral_taxon_348	0.00107285829836495	health_associated
Campylobacter_showae	-0.000738285361437699	non_healthy_associated
Tannerella_forsythia	-0.0433376795530395	non_healthy_associated
GGB4538_SGB6256	0	zero
Actinomyces_naeslundii	0	zero
Lancefieldella_rimae	0.0276391392194967	health_associated
GGB4937_SGB6891	0	zero
Streptococcus_anginosus	0	zero
GGB12441_SGB19290	0.0194643225467411	health_associated
Solobacterium_SGB6834	0	zero
GGB12785_SGB19827	0.0144700667468424	health_associated
GGB1843_SGB2524	0	zero
Actinomyces_sp_oral_taxon_448	-0.0143643400333184	non_healthy_associated
GGB3887_SGB5270	-0.0110005335974297	non_healthy_associated
GGB18703_SGB19793	0	zero
Prevotella_pleuritidis	0	zero
GGB3886_SGB5269	0	zero
Schaalia_meyeri	0	zero
Actinobaculum_sp_oral_taxon_183	0.00550909093906685	health_associated
Kingella_denitrificans	0	zero
Streptococcus_constellatus	0	zero
Bacteroidetes_oral_taxon_274	0	zero
Prevotella_oulorum	0	zero
GGB4538_SGB6253	0	zero
Oribacterium_asaccharolyticum	0	zero
Capnocytophaga_sputigena	0	zero
Campylobacter_rectus	-0.0041948983865033	non_healthy_associated
Alloprevotella_sp_Lung230	0	zero
Oribacterium_SGB5287	0	zero
SR1_bacterium_human_oral_taxon_HOT_345	0	zero
GGB1026_SGB1321	-0.0389538725625881	non_healthy_associated
Streptococcus_sp_F0442	0	zero
Solobacterium_moorei	0	zero
Selenomonas_noxia	0.00988883166061762	health_associated
Peptostreptococcus_stomatis	0	zero
GGB4533_SGB6246	-0.00971920724697462	non_healthy_associated
Mogibacterium_timidum	0	zero
Selenomonas_SGB5897	-0.00560116736359052	non_healthy_associated
Cardiobacterium_hominis	0.0329747079926774	health_associated
Eubacterium_infirmum	0.0240510203825034	health_associated
Prevotella_loescheii	0	zero
GGB12763_SGB19797	0	zero
Selenomonas_felix	-0.00700468705246296	non_healthy_associated
Capnocytophaga_ochracea	0	zero
Pauljensenia_hongkongensis	0	zero
Actinomyces_massiliensis	0.0397801325095353	health_associated
Prevotella_conceptionensis	0	zero
Prevotella_SGB1459	0.0236134172660467	health_associated
Capnocytophaga_SGB2480	0	zero
Dialister_pneumosintes	0	zero
Treponema_denticola	-0.0210214603327229	non_healthy_associated
Leptotrichia_buccalis	0	zero
GGB1202_SGB1566	0.018192771110382	health_associated
Catonella_SGB96613	0	zero
Olsenella_sp_oral_taxon_807	0	zero
Leptotrichia_hongkongensis	0	zero
Arachnia_propionica	0	zero
Slackia_exigua	0	zero
Oribacterium_SGB96486	0.00576499882286925	health_associated
Leptotrichia_sp_oral_taxon_212	0	zero
GGB1843_SGB2516	0	zero
Leptotrichia_SGB6069	0	zero
Prevotella_maculosa	0	zero
GGB3059_SGB69431	0	zero
