SampleID,PCoA1,PCoA2,body_site
CRR024259,-0.27558183307391,0.088509084070901,Tongue
CRR024261,-0.258532903752518,0.00901363620951357,Tongue
CRR024262,-0.345060866943691,0.0150605048990191,Tongue
CRR024264,-0.308335081180773,-0.00178422887956453,Tongue
CRR024265,-0.31804009602934,-0.0641345203583824,Tongue
CRR024266,-0.298816852781508,-0.245913325176903,Tongue
CRR024267,-0.247955639274551,0.278885642954193,Tongue
CRR024268,-0.360622067303333,0.0142418411934792,Tongue
CRR024269,-0.336069646922366,0.00683233658265898,Tongue
CRR024275,-0.179134913459809,0.219375078387317,Tongue
CRR024276,-0.296512414102548,0.105429199450274,Tongue
CRR024277,-0.102687582538531,0.335922597393159,Tongue
CRR024278,-0.305381632103468,-0.158222699625532,Tongue
CRR024279,-0.333678526275747,-0.251857388993036,Tongue
CRR024280,-0.260560113663573,-0.232673239675565,Tongue
CRR024281,-0.239108944083265,0.0459854415799277,Tongue
CRR024282,-0.358856039535797,0.0894689531419367,Tongue
CRR024283,-0.347074885140525,-0.240986713349026,Tongue
CRR024284,-0.282539041106383,0.150836410329801,Tongue
CRR024285,-0.160422067125156,0.35650359035915,Tongue
CRR024286,-0.216432726370189,0.358295132147282,Tongue
CRR024287,-0.153650054752769,0.40652308343719,Tongue
CRR024288,-0.131372348990565,0.439744089617138,Tongue
CRR024289,-0.349583155087611,0.0853116475753229,Tongue
CRR024290,-0.319535557257421,-0.318075378789868,Tongue
CRR024291,-0.283674717495143,0.236956406031998,Tongue
CRR024292,-0.153003450756137,0.419561053086715,Tongue
CRR024293,-0.369890618148885,-0.0220558185715138,Tongue
CRR024294,-0.292241150674747,0.225068242670659,Tongue
CRR024295,-0.336247663885953,-0.108185458576315,Tongue
CRR024296,-0.254924989121213,0.261078966325793,Tongue
CRR024297,-0.265448891125339,-0.0688972509669027,Tongue
CRR024298,-0.349091529701645,-0.0578024106236962,Tongue
CRR024299,-0.265985119609307,0.116919216503411,Tongue
CRR024300,-0.315597533668787,0.0890506104968026,Tongue
CRR024301,-0.293136722749386,-0.296280325690594,Tongue
CRR024302,-0.129062866389295,0.437930165682979,Tongue
CRR024303,-0.202644417290791,-0.13906294609811,Tongue
CRR024304,-0.362073611817216,0.110618252715565,Tongue
CRR024305,-0.342885947221237,0.0312362667385165,Tongue
CRR024306,-0.318971798636894,-0.21879339987462,Tongue
CRR024307,-0.311262669928222,0.0421634165678362,Tongue
CRR024308,-0.314319618329958,0.0810098867709687,Tongue
CRR024309,-0.331709888360299,0.165028027247768,Tongue
CRR024310,-0.30637725079236,0.225859014379714,Tongue
CRR024311,-0.29375611909648,0.255497555429942,Tongue
CRR024312,-0.360189610654115,-0.063314273546466,Tongue
CRR024313,-0.357923665807936,0.110728494434124,Tongue
CRR024314,-0.327693602004147,0.110546441417875,Tongue
CRR024315,-0.260420849948056,0.292732029520463,Tongue
CRR024316,-0.361703260246786,-0.255366550810018,Tongue
CRR024341,-0.246499184195757,0.368830852875929,Tongue
CRR024342,-0.229579030920985,0.296796243866519,Tongue
CRR024343,-0.320514105370323,0.157721177645082,Tongue
CRR024344,-0.172035803930625,0.457477960652195,Tongue
CRR024345,-0.112374174406277,0.401039366593644,Tongue
CRR024346,-0.130936193237671,0.401578634363725,Tongue
CRR024348,-0.25008247777915,0.34155656524354,Tongue
