group1,group2,n1,n2,F_model,R2,P,P_adj_BH,sig
Dental,Saliva,851,1301,455.607843293907,0.174856644090365,0.001,0.001,**
Dental,Tongue,851,307,283.378932861125,0.1968758374821,0.001,0.001,**
Dental,Pharyngeal swab,851,242,174.287577026966,0.137745426566574,0.001,0.001,**
Dental,Oral rinse,851,15,18.5289493594256,0.0209952878858814,0.001,0.001,**
Saliva,Tongue,1301,307,59.332462423886,0.0356279984703641,0.001,0.001,**
Saliva,Pharyngeal swab,1301,242,60.6063675086596,0.0378409881092908,0.001,0.001,**
Saliva,Oral rinse,1301,15,5.31297995355856,0.00402708078696048,0.001,0.001,**
Tongue,Pharyngeal swab,307,242,44.5475068897858,0.0753067274748665,0.001,0.001,**
Tongue,Oral rinse,307,15,6.10017354079609,0.0187064406454017,0.001,0.001,**
Pharyngeal swab,Oral rinse,242,15,6.25406153854498,0.0239386193719414,0.001,0.001,**
