"Region","StudyCount","SampleCount","lon","lat"
"United States",4,95,-103.629562809744,44.7437315908213
"China",9,548,103.378049539793,36.6914066934515
"Denmark",3,252,10.042211774911,55.9749821709948
"Japan",1,282,137.660006265981,37.4608804755929
"Germany",2,240,10.3643715892926,51.050577200392
"Fiji",1,115,178.512028234471,-17.4275460095832
"Italy",1,54,12.2010485047318,42.7156861458039
"Singapore",1,61,103.817255835084,1.35876224004016
"Luxembourg",1,53,6.07215816476923,49.7667823716718
"Spain",1,44,-3.70353625253204,40.2076539840155
"France",1,38,-6.67614112511503,42.9551401765111
"Philippines",1,24,122.919280077961,11.7293432309907
"Netherlands",1,7,4.99154833318456,52.2269196009093
