"feature","coef","direction"
"Tannerella forsythia",-0.0433376795530395,"Disease-associated"
"GGB1026 SGB1321",-0.0389538725625881,"Disease-associated"
"Capnocytophaga granulosa",-0.0332024322800968,"Disease-associated"
"Tannerella serpentiformis",-0.032919669688743,"Disease-associated"
"Treponema denticola",-0.0210214603327229,"Disease-associated"
"Prevotella oris",-0.0169706812762632,"Disease-associated"
"Actinomyces sp oral taxon 448",-0.0143643400333184,"Disease-associated"
"Capnocytophaga leadbetteri",-0.0134682335533614,"Disease-associated"
"Lancefieldella parvula",-0.0126699496481373,"Disease-associated"
"GGB3887 SGB5270",-0.0110005335974297,"Disease-associated"
"GGB4533 SGB6246",-0.00971920724697462,"Disease-associated"
"Lautropia mirabilis",-0.00836258098121049,"Disease-associated"
"Aggregatibacter segnis",-0.00711150517235109,"Disease-associated"
"Selenomonas felix",-0.00700468705246296,"Disease-associated"
"Selenomonas SGB5897",-0.00560116736359052,"Disease-associated"
"Campylobacter rectus",-0.0041948983865033,"Disease-associated"
"Filifactor alocis",-0.00325028982625916,"Disease-associated"
"Campylobacter showae",-0.000738285361437699,"Disease-associated"
"Schaalia SGB17157",-0.000492029817929775,"Disease-associated"
"Streptococcus infantis",-3.0342430908133e-05,"Disease-associated"
"TM7 phylum sp oral taxon 348",0.00107285829836495,"Health-associated"
"Schaalia SGB17154",0.00227845988636741,"Health-associated"
"Granulicatella adiacens",0.00500510158463491,"Health-associated"
"Actinobaculum sp oral taxon 183",0.00550909093906685,"Health-associated"
"Prevotella histicola",0.00563341800849472,"Health-associated"
"Eubacterium sulci",0.00563935279500839,"Health-associated"
"Oribacterium SGB96486",0.00576499882286925,"Health-associated"
"Veillonella tobetsuensis",0.00720258633379334,"Health-associated"
"Prevotella sp HJM029",0.00893148715701821,"Health-associated"
"Selenomonas noxia",0.00988883166061762,"Health-associated"
"Streptococcus gordonii",0.00992078115526247,"Health-associated"
"Alloprevotella SGB1483",0.0102307800741048,"Health-associated"
"TM7 phylum sp oral taxon 352",0.0111358638377162,"Health-associated"
"GGB4936 SGB6889",0.0112519376392682,"Health-associated"
"Alloprevotella SGB1484",0.0131239703452886,"Health-associated"
"GGB12785 SGB19827",0.0144700667468424,"Health-associated"
"GGB1202 SGB1566",0.018192771110382,"Health-associated"
"GGB12441 SGB19290",0.0194643225467411,"Health-associated"
"Veillonella rogosae",0.0212150335661782,"Health-associated"
"Prevotella SGB1459",0.0236134172660467,"Health-associated"
"Eubacterium infirmum",0.0240510203825034,"Health-associated"
"Prevotella nanceiensis",0.0243576554013032,"Health-associated"
"Fusobacterium periodonticum",0.026092156046202,"Health-associated"
"Lancefieldella rimae",0.0276391392194967,"Health-associated"
"Streptococcus australis",0.0284904978257351,"Health-associated"
"Cardiobacterium hominis",0.0329747079926774,"Health-associated"
"Neisseria subflava",0.0361162283556937,"Health-associated"
"Streptococcus sanguinis",0.0384198734015173,"Health-associated"
"Actinomyces massiliensis",0.0397801325095353,"Health-associated"
"Haemophilus sputorum",0.0566946432627792,"Health-associated"
