"repeat_id","fold","fold_auc","n"
1,1,0.836263020833333,112
1,2,0.756648936170213,111
1,3,0.731715425531915,111
1,4,0.793218085106383,111
1,5,0.796014859844647,110
1,6,0.81661600810537,110
1,7,0.871664978047957,110
1,8,0.793988517392773,110
1,9,0.78790949003715,110
1,10,0.823370482944951,110
2,1,0.791666666666667,112
2,2,0.808510638297872,111
2,3,0.814827127659574,111
2,4,0.845412234042553,111
2,5,0.755825734549139,110
2,6,0.881458966565349,110
2,7,0.791624451198919,110
2,8,0.705842620736238,110
2,9,0.812225599459642,110
2,10,0.800742992232354,110
3,1,0.808919270833333,112
3,2,0.793550531914894,111
3,3,0.836436170212766,111
3,4,0.86469414893617,111
3,5,0.789598108747045,110
3,6,0.782843633907464,110
3,7,0.719013846673421,110
3,8,0.803782505910166,110
3,9,0.772036474164134,110
3,10,0.818980074299223,110
4,1,0.802408854166667,112
4,2,0.785904255319149,111
4,3,0.818816489361702,111
4,4,0.823803191489362,111
4,5,0.781155015197568,110
4,6,0.76258020938872,110
4,7,0.739277271192165,110
4,8,0.746707193515704,110
4,9,0.789935832489024,110
4,10,0.875717662951705,110
5,1,0.817708333333333,112
5,2,0.816489361702128,111
5,3,0.819148936170213,111
5,4,0.774268617021277,111
5,5,0.792637622424856,110
5,6,0.804457953394124,110
5,7,0.802431610942249,110
5,8,0.763255656872678,110
5,9,0.799729821006417,110
5,10,0.802769334684228,110
6,1,0.805013020833333,112
6,2,0.757646276595745,111
6,3,0.8125,111
6,4,0.755651595744681,111
6,5,0.843633907463695,110
6,6,0.7983789260385,110
6,7,0.821681864235056,110
6,8,0.760216143194867,110
6,9,0.856805133400878,110
6,10,0.835528537656197,110
7,1,0.825520833333333,112
7,2,0.825132978723404,111
7,3,0.785571808510638,111
7,4,0.77593085106383,111
7,5,0.780817291455589,110
7,6,0.777777777777778,110
7,7,0.821006416751098,110
7,8,0.788922661263087,110
7,9,0.747720364741641,110
7,10,0.868625464370145,110
8,1,0.742513020833333,112
8,2,0.811502659574468,111
8,3,0.828789893617021,111
8,4,0.775598404255319,111
8,5,0.85984464707869,110
8,6,0.779804120229652,110
8,7,0.840256670043904,110
8,8,0.766632894292469,110
8,9,0.746369469773725,110
8,10,0.809861533265789,110
9,1,0.847005208333333,112
9,2,0.79188829787234,111
9,3,0.763297872340426,111
9,4,0.789228723404255,111
9,5,0.797028031070584,110
9,6,0.7983789260385,110
9,7,0.740628166160081,110
9,8,0.820668693009118,110
9,9,0.801418439716312,110
9,10,0.77710233029382,110
10,1,0.809244791666667,112
10,2,0.848404255319149,111
10,3,0.800864361702128,111
10,4,0.80186170212766,111
10,5,0.731171901384667,110
10,6,0.80918608578183,110
10,7,0.80580884836204,110
10,8,0.835528537656197,110
10,9,0.763593380614657,110
10,10,0.7193515704154,110
