dataset,bin,health_status,n,total_n,prop
Overall,< -2,Disease,96,117,0.8205128205128205
Overall,< -2,Healthy,21,117,0.1794871794871795
Overall,"[-2, -1.5)",Disease,101,138,0.7318840579710145
Overall,"[-2, -1.5)",Healthy,37,138,0.26811594202898553
Overall,"[-1.5, -1)",Disease,179,254,0.7047244094488189
Overall,"[-1.5, -1)",Healthy,75,254,0.2952755905511811
Overall,"[-1, -0.5)",Disease,198,331,0.5981873111782477
Overall,"[-1, -0.5)",Healthy,133,331,0.40181268882175225
Overall,"[-0.5, 0)",Disease,160,383,0.4177545691906005
Overall,"[-0.5, 0)",Healthy,223,383,0.5822454308093995
Overall,"[0, 0.5)",Disease,77,314,0.24522292993630573
Overall,"[0, 0.5)",Healthy,237,314,0.7547770700636943
Overall,"[0.5, 1)",Disease,27,178,0.15168539325842698
Overall,"[0.5, 1)",Healthy,151,178,0.848314606741573
Overall,>= 1,Disease,11,151,0.0728476821192053
Overall,>= 1,Healthy,140,151,0.9271523178807947
