label,p_value,FDR,p_signif
Overweight,0.000442884734197409,0.00054508890362758,***
Obesity,0.00210044995808704,0.00240051423781376,**
type 2 diabetes,4.88022364794839e-06,9.76044729589678e-06,***
Rheumatoid Arthritis,7.59585059375445e-25,6.07668047500356e-24,***
Periodontitis,3.20892931991584e-18,1.28357172796634e-17,***
Hypertension,9.7869441965475e-05,0.0001304925892873,***
Type 1 diabetes,0.0145108654939381,0.0154782565268673,*
BMI low,0.157745028554841,0.157745028554841,""
Pancreatic cancer,3.49161565688464e-05,5.0787136827413e-05,***
Pancreatitis,8.86654215273874e-11,2.36441124073033e-10,***
superficial gastritis,2.6691151898527e-20,1.42352810125477e-19,***
atrophic gastritis,1.71853285072356e-05,2.74965256115769e-05,***
Intestinal metaplasia,4.40285682723448e-14,1.40891418471503e-13,***
Adenoid Cystic Carcinoma,6.77381493062126e-06,1.20423376544378e-05,***
COVID,3.89796160638184e-63,6.23673857021095e-62,***
Colorectal cancer,4.97337193596616e-09,1.13677072822084e-08,***
