analysis,term,Df,SumOfSqs,R2,F,Pr(>F)
batch_before_correction,Model,15,69.6079171055872,0.232813666950291,22.0315085038096,0.001
batch_before_correction,Residual,1089,229.377610751974,0.767186333049709,,
batch_before_correction,Total,1104,298.985527857561,1,,
batch_after_correction,Model,15,14.1775957476779,0.0538772240155404,4.13422714558187,0.001
batch_after_correction,Residual,1089,248.968770954299,0.94612277598446,,
batch_after_correction,Total,1104,263.146366701977,1,,
disease_after_correction,Model,1,1.42599429624622,0.00541901571402358,6.0097412146474,0.001
disease_after_correction,Residual,1103,261.720372405731,0.994580984285976,,
disease_after_correction,Total,1104,263.146366701977,1,,
system_after_correction,Model,6,5.74434443635342,0.0218294651313165,4.08394239718865,0.001
system_after_correction,Residual,1098,257.402022265623,0.978170534868683,,
system_after_correction,Total,1104,263.146366701977,1,,
disease_plus_batch_after_correction,Model,16,15.1519907271672,0.0575800871471936,4.15467232027885,0.001
disease_plus_batch_after_correction,Residual,1088,247.99437597481,0.942419912852806,,
disease_plus_batch_after_correction,Total,1104,263.146366701977,1,,
system_plus_batch_after_correction,Model,20,16.8232623002395,0.0639311973449834,3.7017267173844,0.001
system_plus_batch_after_correction,Residual,1084,246.323104401737,0.936068802655017,,
system_plus_batch_after_correction,Total,1104,263.146366701977,1,,
