feature,final_coef,selected_models_n,successful_lodo_models_n,selection_frequency,sign_concordant_models_n,sign_concordance_among_selected,mean_lodo_coef,median_lodo_coef
Tannerella_forsythia,-0.0433376795530395,16,16,1,16,1,-0.0407882380623742,-0.0416238339648197
GGB1026_SGB1321,-0.0389538725625881,16,16,1,16,1,-0.0333637373833518,-0.0342120747751661
Capnocytophaga_granulosa,-0.0332024322800968,16,16,1,16,1,-0.0322882979646262,-0.0312706346883243
Tannerella_serpentiformis,-0.032919669688743,16,16,1,16,1,-0.0316647674074636,-0.032301729364699
Treponema_denticola,-0.0210214603327229,12,16,0.75,12,1,-0.0164857271922175,-0.0157287981047813
Prevotella_oris,-0.0169706812762632,15,16,0.9375,15,1,-0.0171083161798104,-0.0169609571275089
Actinomyces_sp_oral_taxon_448,-0.0143643400333184,9,16,0.5625,9,1,-0.0162412320245362,-0.0131262504238573
Capnocytophaga_leadbetteri,-0.0134682335533614,16,16,1,16,1,-0.0135261587071068,-0.0140904884021858
Lancefieldella_parvula,-0.0126699496481373,15,16,0.9375,15,1,-0.0142159935039128,-0.00976773221159389
GGB3887_SGB5270,-0.0110005335974297,15,16,0.9375,15,1,-0.0117193476601536,-0.0113244349338448
GGB4533_SGB6246,-0.00971920724697462,14,16,0.875,14,1,-0.0104828431423812,-0.00966622765734831
Lautropia_mirabilis,-0.00836258098121049,13,16,0.8125,13,1,-0.00859513853325777,-0.00909840481653032
Aggregatibacter_segnis,-0.00711150517235109,11,16,0.6875,11,1,-0.00907008296538807,-0.0064737375522454
Selenomonas_felix,-0.00700468705246296,11,16,0.6875,11,1,-0.0108161792423923,-0.00886399754831737
Selenomonas_SGB5897,-0.00560116736359052,14,16,0.875,14,1,-0.00671129661655951,-0.00501069461666716
Campylobacter_rectus,-0.0041948983865033,12,16,0.75,12,1,-0.00686041043124413,-0.00556241539632476
Filifactor_alocis,-0.00325028982625916,5,16,0.3125,5,1,-0.0108152010168468,-0.0110755736936475
Campylobacter_showae,-0.000738285361437699,6,16,0.375,6,1,-0.00343059704763443,-0.00266937190511072
Schaalia_SGB17157,-0.000492029817929775,7,16,0.4375,7,1,-0.00644615988348531,-0.00295793673934161
Streptococcus_infantis,-3.0342430908133e-05,5,16,0.3125,5,1,-0.00649557952833212,-0.00625925830345515
TM7_phylum_sp_oral_taxon_348,0.00107285829836495,9,16,0.5625,9,1,0.00400630566068943,0.00440351763944452
Schaalia_SGB17154,0.00227845988636741,7,16,0.4375,7,1,0.011623594695806,0.0147283342591657
Granulicatella_adiacens,0.00500510158463491,11,16,0.6875,10,0.909090909090909,0.00677526047722934,0.00458207324588419
Actinobaculum_sp_oral_taxon_183,0.00550909093906685,12,16,0.75,12,1,0.00938395708164497,0.0102609030579247
Prevotella_histicola,0.00563341800849472,9,16,0.5625,9,1,0.00665278289368658,0.00667233514725585
Eubacterium_sulci,0.00563935279500839,13,16,0.8125,13,1,0.00505688916233943,0.00459568870414141
Oribacterium_SGB96486,0.00576499882286925,9,16,0.5625,9,1,0.0107870640463276,0.00552333608407514
Veillonella_tobetsuensis,0.00720258633379334,15,16,0.9375,15,1,0.00733458388422946,0.0063141421995298
Prevotella_sp_HJM029,0.00893148715701821,14,16,0.875,14,1,0.00769487286435,0.00750172172225104
Selenomonas_noxia,0.00988883166061762,13,16,0.8125,13,1,0.0104631163020344,0.0118928551092121
Streptococcus_gordonii,0.00992078115526247,14,16,0.875,14,1,0.00973281643843274,0.00681141149029211
Alloprevotella_SGB1483,0.0102307800741048,14,16,0.875,14,1,0.0106130122131284,0.00821774757467663
TM7_phylum_sp_oral_taxon_352,0.0111358638377162,14,16,0.875,14,1,0.00885058811926101,0.00862874119837501
GGB4936_SGB6889,0.0112519376392682,16,16,1,16,1,0.0104734675445434,0.00967720501151678
Alloprevotella_SGB1484,0.0131239703452886,16,16,1,16,1,0.0117137953221801,0.0116145349033234
GGB12785_SGB19827,0.0144700667468424,10,16,0.625,10,1,0.0111879434651384,0.0105893317613045
GGB1202_SGB1566,0.018192771110382,14,16,0.875,14,1,0.0194281318618129,0.0196009129085377
GGB12441_SGB19290,0.0194643225467411,16,16,1,16,1,0.0182192140411768,0.0159934405993215
Veillonella_rogosae,0.0212150335661782,16,16,1,16,1,0.0219793689460653,0.019381164091789
Prevotella_SGB1459,0.0236134172660467,14,16,0.875,14,1,0.0245093715027122,0.0226002748447616
Eubacterium_infirmum,0.0240510203825034,15,16,0.9375,15,1,0.0191985219406449,0.0191842389561268
Prevotella_nanceiensis,0.0243576554013032,16,16,1,16,1,0.0248689803197227,0.0261158955832381
Fusobacterium_periodonticum,0.026092156046202,16,16,1,16,1,0.0248373447782487,0.0250530592771752
Lancefieldella_rimae,0.0276391392194967,16,16,1,16,1,0.0255809569873527,0.0226491716879404
Streptococcus_australis,0.0284904978257351,16,16,1,16,1,0.026391741389084,0.0269062094357673
Cardiobacterium_hominis,0.0329747079926774,16,16,1,16,1,0.0337621334423783,0.0331573440732935
Neisseria_subflava,0.0361162283556937,16,16,1,16,1,0.0363904600733329,0.035401858282689
Streptococcus_sanguinis,0.0384198734015173,16,16,1,16,1,0.0360763457328756,0.0387472901848757
Actinomyces_massiliensis,0.0397801325095353,10,16,0.625,10,1,0.0377306220656512,0.0379429111832821
Haemophilus_sputorum,0.0566946432627792,16,16,1,16,1,0.0549187694989961,0.0549869213746307
