feature,final_coef
Tannerella_forsythia,-0.0433376795530395
GGB1026_SGB1321,-0.0389538725625881
Capnocytophaga_granulosa,-0.0332024322800968
Tannerella_serpentiformis,-0.032919669688743
Treponema_denticola,-0.0210214603327229
Prevotella_oris,-0.0169706812762632
Actinomyces_sp_oral_taxon_448,-0.0143643400333184
Capnocytophaga_leadbetteri,-0.0134682335533614
Lancefieldella_parvula,-0.0126699496481373
GGB3887_SGB5270,-0.0110005335974297
GGB4533_SGB6246,-0.00971920724697462
Lautropia_mirabilis,-0.00836258098121049
Aggregatibacter_segnis,-0.00711150517235109
Selenomonas_felix,-0.00700468705246296
Selenomonas_SGB5897,-0.00560116736359052
Campylobacter_rectus,-0.0041948983865033
Filifactor_alocis,-0.00325028982625916
Campylobacter_showae,-0.000738285361437699
Schaalia_SGB17157,-0.000492029817929775
Streptococcus_infantis,-3.0342430908133e-05
TM7_phylum_sp_oral_taxon_348,0.00107285829836495
Schaalia_SGB17154,0.00227845988636741
Granulicatella_adiacens,0.00500510158463491
Actinobaculum_sp_oral_taxon_183,0.00550909093906685
Prevotella_histicola,0.00563341800849472
Eubacterium_sulci,0.00563935279500839
Oribacterium_SGB96486,0.00576499882286925
Veillonella_tobetsuensis,0.00720258633379334
Prevotella_sp_HJM029,0.00893148715701821
Selenomonas_noxia,0.00988883166061762
Streptococcus_gordonii,0.00992078115526247
Alloprevotella_SGB1483,0.0102307800741048
TM7_phylum_sp_oral_taxon_352,0.0111358638377162
GGB4936_SGB6889,0.0112519376392682
Alloprevotella_SGB1484,0.0131239703452886
GGB12785_SGB19827,0.0144700667468424
GGB1202_SGB1566,0.018192771110382
GGB12441_SGB19290,0.0194643225467411
Veillonella_rogosae,0.0212150335661782
Prevotella_SGB1459,0.0236134172660467
Eubacterium_infirmum,0.0240510203825034
Prevotella_nanceiensis,0.0243576554013032
Fusobacterium_periodonticum,0.026092156046202
Lancefieldella_rimae,0.0276391392194967
Streptococcus_australis,0.0284904978257351
Cardiobacterium_hominis,0.0329747079926774
Neisseria_subflava,0.0361162283556937
Streptococcus_sanguinis,0.0384198734015173
Actinomyces_massiliensis,0.0397801325095353
Haemophilus_sputorum,0.0566946432627792
