variable,outcome_type,term,group,OR,conf.low,conf.high,p.value,is_ref,n,label,sig
smoker,lt0,groupNever,Never,1,1,1,NA,TRUE,105,Never (n=105),
smoker,lt0,groupPast,Past,2.5846153846153865,0.9640268386451766,8.226532590402098,0.0768237312950194,FALSE,26,Past (n=26),
smoker,lt0,groupCurrent,Current,12.61538438465635,3.6014429419086897,80.05055775299213,7.425657020593221e-4,FALSE,43,Current (n=43),***
H_pylori_status,lt0,groupNegative,Negative,1,1,1,NA,TRUE,55,Negative (n=55),
H_pylori_status,lt0,groupPositive,Positive,1.725490111659709,0.23809090471369315,34.78682644235546,0.6342498833773875,FALSE,23,Positive (n=23),
BMI_group,lt0,group18.5-24.9,18.5-24.9,1,1,1,NA,TRUE,375,18.5-24.9 (n=375),
BMI_group,lt0,group25-29.9,25-29.9,3.7504873294331396,2.3761912094119566,6.092329960266756,3.3660080417185886e-8,FALSE,131,25-29.9 (n=131),***
BMI_group,lt0,group≥30,≥30,2.3014354066955702,1.1325616643819127,4.980757776192775,0.025920552661638542,FALSE,37,≥30 (n=37),*
BMI_group,lt0,group<18.5,<18.5,4.05701754385934,1.7322448525721537,11.125384651053245,0.0026644266075794175,FALSE,31,<18.5 (n=31),**
age_group,lt0,group18-44,18-44,1,1,1,NA,TRUE,314,18-44 (n=314),
age_group,lt0,group45-59,45-59,3.6204651162790706,2.4485317533734334,5.436782365398569,2.3960683782710825e-10,FALSE,239,45-59 (n=239),***
age_group,lt0,group60-74,60-74,7.273984962406032,4.406328961762467,12.613565659291014,1.0701371098167718e-13,FALSE,193,60-74 (n=193),***
age_group,lt0,group75-90,75-90,9.531428571421742,3.3488624776442637,40.094749372676894,2.2730447320543776e-4,FALSE,39,75-90 (n=39),***
gender,lt0,groupMale,Male,1,1,1,NA,TRUE,585,Male (n=585),
gender,lt0,groupFemale,Female,0.5693044141325582,0.4541569625318477,0.7121058244556759,9.041455079139721e-7,FALSE,801,Female (n=801),***
RBC_group,lt0,groupFemale:3.5-5.0,Female:3.5-5.0,1,1,1,NA,TRUE,64,Female:3.5-5.0 (n=64),
RBC_group,lt0,groupMale:4.0-5.5,Male:4.0-5.5,0.39354838709677437,0.054900628699716736,1.9020713023455218,0.27589475851216866,FALSE,66,Male:4.0-5.5 (n=66),
RBC_group,lt0,groupMale:>5.5,Male:>5.5,0.1612903225806453,0.012946657490090557,3.8161492530804697,0.16368816182956977,FALSE,6,Male:>5.5 (n=6),
RBC_group,lt0,groupMale:<4.0,Male:<4.0,1372413.3018668215,4.379251277238956e-100,NA,0.9936269040471315,FALSE,5,Male:<4.0 (n=5),
WBC_group,lt0,group4-10,4-10,1,1,1,NA,TRUE,128,4-10 (n=128),
WBC_group,lt0,group<4,<4,0.04838709677419358,0.009068453198546815,0.24628524116572725,2.2697224973559894e-4,FALSE,10,<4 (n=10),***
WBC_group,lt0,group>10,>10,3730606.2169597098,6.793273870414374e-116,NA,0.9947645106792343,FALSE,8,>10 (n=8),
